text,label
Which period had better transactions?,comparison_mode
Which period had better expenses?,comparison_mode
How does conversion rate differ between regions?,comparison_mode
How does production costs differ between regions?,comparison_mode
Compare customers from this quarter to last quarter.,comparison_mode
Which period had better conversion rate?,comparison_mode
Compare the regions results for 2024 and 2025.,comparison_mode
How did orders change year over year?,comparison_mode
Compare customers from this quarter to last quarter.,comparison_mode
Can you compare marketing for Europe vs North America?,comparison_mode
Which period had better leads?,comparison_mode
Show the difference in expenses between January and February.,comparison_mode
How does inventory differ between regions?,comparison_mode
Which period had better orders?,comparison_mode
How did production costs change year over year?,comparison_mode
How did budget change year over year?,comparison_mode
Which period had better sales?,comparison_mode
Compare budget from this quarter to last quarter.,comparison_mode
How did forecast change year over year?,comparison_mode
Show the difference in orders between January and February.,comparison_mode
Can you compare growth for Europe vs North America?,comparison_mode
Show the difference in suppliers between January and February.,comparison_mode
Provide a comparison of conversion rate for two departments.,comparison_mode
How does leads differ between regions?,comparison_mode
Compare leads from this quarter to last quarter.,comparison_mode
Compare the sales results for 2024 and 2025.,comparison_mode
Can you compare revenue for Europe vs North America?,comparison_mode
How does leads differ between regions?,comparison_mode
Provide a comparison of shipments for two departments.,comparison_mode
Can you compare shipments for Europe vs North America?,comparison_mode
Provide a comparison of website traffic for two departments.,comparison_mode
Can you compare forecast for Europe vs North America?,comparison_mode
How did shipments change year over year?,comparison_mode
Show the difference in orders between January and February.,comparison_mode
Provide a comparison of profit for two departments.,comparison_mode
Compare the sales results for 2024 and 2025.,comparison_mode
Show the difference in transactions between January and February.,comparison_mode
Compare marketing from this quarter to last quarter.,comparison_mode
Provide a comparison of leads for two departments.,comparison_mode
Can you compare regions for Europe vs North America?,comparison_mode
Provide a comparison of shipments for two departments.,comparison_mode
Provide a comparison of leads for two departments.,comparison_mode
Compare the growth results for 2024 and 2025.,comparison_mode
Can you compare leads for Europe vs North America?,comparison_mode
Show the difference in inventory between January and February.,comparison_mode
How does forecast differ between regions?,comparison_mode
Compare suppliers from this quarter to last quarter.,comparison_mode
How did revenue change year over year?,comparison_mode
Compare the revenue results for 2024 and 2025.,comparison_mode
Can you compare inventory for Europe vs North America?,comparison_mode
How does marketing differ between regions?,comparison_mode
Compare the leads results for 2024 and 2025.,comparison_mode
Can you compare profit for Europe vs North America?,comparison_mode
