text,label
How did orders vary across regions?,insight_mode
What caused the changes in regions?,insight_mode
Give me insights into shipments performance.,insight_mode
Tell me the key drivers behind customers.,insight_mode
What are the reasons behind marketing fluctuations?,insight_mode
Why did transactions increase last month?,insight_mode
Can you analyze what influenced website traffic?,insight_mode
What are the reasons behind budget fluctuations?,insight_mode
How did transactions vary across regions?,insight_mode
What caused the changes in expenses?,insight_mode
How did orders vary across regions?,insight_mode
Why did customers increase last month?,insight_mode
Tell me the key drivers behind profit.,insight_mode
How did expenses vary across regions?,insight_mode
Give me insights into profit performance.,insight_mode
Give me insights into sales performance.,insight_mode
What caused the changes in website traffic?,insight_mode
Can you analyze what influenced budget?,insight_mode
Can you analyze what influenced transactions?,insight_mode
Give me insights into production costs performance.,insight_mode
What caused the changes in leads?,insight_mode
How did customers vary across regions?,insight_mode
Tell me the key drivers behind production costs.,insight_mode
Tell me the key drivers behind regions.,insight_mode
How did orders vary across regions?,insight_mode
Tell me the key drivers behind revenue.,insight_mode
Explain why revenue dropped in Q2.,insight_mode
Give me insights into sales performance.,insight_mode
Can you analyze what influenced marketing?,insight_mode
Why did sales increase last month?,insight_mode
Can you analyze what influenced orders?,insight_mode
Can you analyze what influenced marketing?,insight_mode
What caused the changes in suppliers?,insight_mode
Can you analyze what influenced expenses?,insight_mode
How did profit vary across regions?,insight_mode
What are the reasons behind orders fluctuations?,insight_mode
Give me insights into growth performance.,insight_mode
How did growth vary across regions?,insight_mode
What caused the changes in leads?,insight_mode
Why did profit increase last month?,insight_mode
Tell me the key drivers behind marketing.,insight_mode
Explain why forecast dropped in Q2.,insight_mode
Tell me the key drivers behind leads.,insight_mode
What are the reasons behind transactions fluctuations?,insight_mode
Can you analyze what influenced sales?,insight_mode
Why did forecast increase last month?,insight_mode
Tell me the key drivers behind production costs.,insight_mode
Tell me the key drivers behind regions.,insight_mode
What caused the changes in shipments?,insight_mode
What caused the changes in budget?,insight_mode
What caused the changes in customers?,insight_mode
Tell me the key drivers behind expenses.,insight_mode
Can you analyze what influenced expenses?,insight_mode
Explain why sales dropped in Q2.,insight_mode
What caused the changes in leads?,insight_mode
Give me insights into revenue performance.,insight_mode
